"Grid_Value","RUBL_LC","Area","Area_Name","Comb_Value","NVCMES","Level3","ClassName","Description.of.Ecological.System.or.Land.use.class","X"
191,"floodplain_forest",1,"CONUS",191,"01.C.3.D011M028E191",9847,"Northwestern Great Plains Riparian","This system represents the streamside  woodlands, shrublands, and gravel flats found along the rivers and streams in the northwestern Great Plains.  It occurs in habitats ranging from deep cut ravines to wide breaded river-beds.  Cottonwood, willows, silver sage, and grasses are the most common dominant species in these linear features. The name ""riparian"" means narrow. Contrast with Great Plains ""Floodplain"" systems, which refer to large river forests and shrublands, such as found on the upper Missouri in Montana.","."
192,"floodplain_forest",1,"CONUS",192,"01.C.3.D011M028E192",9823,"Western Great Plains Floodplain","This ecological system is found in the floodplains of medium and large rivers of the western Great Plains. It occurs on the lower reaches of the North and South Platte, Platte, Arkansas, and Canadian rivers. Alluvial soils and periodic, intermediate flooding (every 5-25 years) typify this system. These are the perennial big rivers of the region with hydrologic dynamics largely driven by snowmelt in the mountains. Common communities within this system range from floodplain forests to wet meadows to gravel/sand flats, however, they are linked by underlying soils and the flooding regime. Grass cover underneath the trees is an important part of this system. Tamarix and less desirable grasses and forbs can invade degraded areas within the floodplains. These areas are often subjected to heavy grazing and/or agriculture and can be heavily degraded. Another factor is that groundwater depletion and lack of fire have created additional species changes. In most cases, the majority of the wet meadow and prairie communities may be extremely degraded or gone from the system.","."
193,"floodplain_forest",1,"CONUS",193,"01.C.3.D011M028E193",9814,"Western Great Plains Floodplain Systems","This riparian system group is found in the floodplains of medium and large rivers of the western Great Plains ranging from Texas and New Mexico to Canada. Alluvial soils and periodic, intermediate flooding (every 5-25 years) typify this system. Dominant communities range from floodplain forests to wet meadows to gravel/sand flats; however, they are linked by underlying soils and the flooding regime. Stands are also found on alluvial soils in highly variable landscape settings, from deep cut ravines to wide, braided streambeds. Dominant species include Andropogon gerardii, Artemisia cana ssp. cana, Carex pellita (= Carex lanuginosa), Populus balsamifera ssp. trichocarpa (northern stands), Elymus lanceolatus, Fraxinus spp., Panicum virgatum, Pascopyrum smithii, Populus deltoides, Quercus macrocarpa, Salix spp., Schizachyrium scoparium, Sporobolus cryptandrus, Ulmus americana, and Ulmus rubra. In addition, exotic species such as Tamarix spp., Ulmus pumila, and Elaeagnus angustifolia can invade these systems.","."
194,"floodplain_forest",1,"CONUS",194,"01.C.3.D011M028E194",9848,"Western Great Plains Riparian Woodland and Shrubland","These are the stream and creek-side  woodlands and shrublands found in the western Great Plains.  They usually occur within shortgrass prairie or other types of grasslands.   They occur in draws and along small rivers in deep cut ravines to wider meandering streambeds. Flows in these streams can be flashy, and may dry down completely for some portion of the year.  Dominant species vary with the size of the stream and valley type.  Plains cottonwood, willows and silver sagebrush are the most common with an herbaceous understory composed of grasses including little bluestem, western wheatgrass, and sand dropseed.  When heavily use, such as too frequent livestock grazing, or heavy agricultural runoff, increasing streams salinity, non-native trees such as tamarisk and russion olive can replace the native species.  See also a similar system that occurs along larger rivers, for example  the South Platte, called the  Western Great Plains Floodplain System.","."
195,"floodplain_forest",1,"CONUS",195,"01.C.3.D011M029E195",9802,"Central Appalachian Floodplain - Forest Modifier","This system encompasses floodplains from southern New England to Virginia.  Mostly forested, these occur on floodplains of  medium to large rivers where topography and process have resulted in the development of a relatively flat floodplain with a complex of upland and wetland temperate alluvial vegetation.  This complex includes floodplain forests in which Acer saccharinum, Populus deltoides, and Platanus occidentalis are characteristic, as well as herbaceous sloughs and shrub wetlands.  Most areas are underwater each spring; microtopography determines how long the various habitats are inundated.  Depositional and erosional features may both be present depending on the particular floodplain, although there is a history of deposition in the floodplain formation.

Variation:  Forest - Canopy forest present.

Other Variation(s):  Herbaceous.","."
196,"floodplain_forest",1,"CONUS",196,"01.C.3.D011M029E196",9803,"Central Appalachian Riparian - Forest Modifier","This riparian system ranges from southern New England to Virginia.  It develops on floodplains and shores along river channels that lack a broad flat floodplain due to steeper sideslopes, higher gradient, or both.  Flooding is the major process affecting the vegetation, but compared to flat floodplain areas, the substrate is more rapidly drained, and deposition is less important than erosion.  The vegetation is a mosaic of forest, woodlands, shrublands, and herbaceous communities.  Common trees include Betula nigra, Platanus occidentalis, and Acer negundo.  Panicum virgatum and Andropogon gerardii are typical of open, flood-scoured rivershore prairies, and Carex torta is typical of wetter areas near the channel.

Variation:   Forest - Forest canopy present.

Other Variation(s):  Herbaceous.","."
197,"floodplain_forest",1,"CONUS",197,"01.C.3.D011M029E197",9818,"Central Interior and Appalachian Floodplain Systems","This systems group encompasses large-river floodplains over much of the eastern United States. Mostly forested, these systems occur on floodplains of medium to large rivers where topography and process have resulted in the development of a relatively flat, well-developed floodplain with a complex of upland and wetland temperate alluvial vegetation. Many examples of these systems will contain well-drained levees, terraces and stabilized bars, and some will include herbaceous sloughs and shrub wetlands, particularly in abandoned channels. The substrate is primarily alluvium. The generally fertile soils are usually sandy to loamy but include local clayey and gravelly areas. This complex includes floodplain forests as well as herbaceous sloughs and shrub wetlands. Emergent and vegetated bars of gravel to cobble are included here as well, as are scoured bedrock areas. The dominant structure is forest, where characteristic trees include Acer saccharinum, Populus deltoides, Betula nigra, Celtis laevigata, Liquidambar styraciflua (in the southern half of this group's range), willows, especially Salix nigra in the wettest areas, and Platanus occidentalis, with Fraxinus pennsylvanica, Ulmus americana, Liriodendron tulipifera, Quercus michauxii, Quercus pagoda, and (at least in the Midwest) Quercus macrocarpa in more well-drained areas. The particular mix of tree species will vary across the geographic range of this systems group, with some trees absent over parts of the range; for example, Celtis, Liquidambar, and Quercus macrocarpa are absent from the Susquehanna drainage in Pennsylvania. Understory species are mixed but include shrubs, such as Cephalanthus occidentalis, Cornus drummondii, and Asimina triloba, sedges (Carex spp.) and grasses (such as Elymus hystrix, Elymus canadensis, Chasmanthium latifolium, and others) which sometimes form savanna-like vegetation. Oxbows may support herbaceous vegetation dominated by species including Nelumbo lutea and Typha latifolia. Canebrakes dominated by Arundinaria gigantea ssp. gigantea are present in some areas. Frequently reworked gravelbars may be dominated by young Salix nigra, Platanus occidentalis, or Betula nigra, or they may have sparse vegetation of a wide variety of annual and perennial herbs of weedy habits. Occasional bedrock-scour areas in gorges have distinctive vegetation dominated by perennial herbs rooted in pockets and crevices. Most floodplains are underwater each spring, and some areas may be submerged by high-water events during the growing season. Microtopography determines how long the various habitats are inundated. Floodplain morphology can be altered by occasional severe floods. Depositional and erosional features may both be present depending on the particular floodplain, although there is a history of deposition in the floodplain formation.","."
198,"floodplain_forest",1,"CONUS",198,"01.C.3.D011M029E198",9819,"Central Interior and Appalachian Riparian Systems","This riverscour-influenced systems group occurs on moderately to very high-gradient streams over a wide range of elevations. It develops on small floodplains and shores along river channels that lack a broad, flat floodplain due to steeper sideslopes, higher gradient, or both. Flooding is the major process affecting the vegetation, with the substrate more rapidly drained than in flat floodplain areas. These systems are affected by flood-scouring in some areas and deposition in others. The vegetation is often a mosaic including various combinations of forest, woodland, shrubland, and herbaceous communities. The non-forested components are particularly distinctive. The succession of woody plants (particularly trees) is retarded by the force of ""flashy,"" high-velocity water traveling down the stream channels. Common trees include Betula nigra, Platanus occidentalis, and Acer negundo. Where somewhat more stable, linear forests develop; typical trees include Liriodendron tulipifera, Liquidambar styraciflua, Acer rubrum, Celtis laevigata, Fraxinus pennsylvanica, Quercus michauxii, and Quercus pagoda. Some common shrubs, occurring as forest/woodland understory or as non-forested shrublands, include Alnus serrulata, Cephalanthus occidentalis, Cornus amomum, Lindera benzoin, Salix caroliniana and other Salix spp., Toxicodendron radicans, and, over parts of the range, Fothergilla major, Hypericum densiflorum, Itea virginica, and Rhododendron arborescens. More southern examples may contain Hydrangea quercifolia, Hypericum densiflorum, and Morella cerifera (= Myrica cerifera var. cerifera); Hamamelis vernalis is characteristic in the Ozark/Ouachita region. Open, flood-scoured rivershore prairies feature Andropogon gerardii, Sorghastrum nutans, Schizachyrium scoparium, Chasmanthium latifolium, Tripsacum dactyloides, and/or Panicum virgatum. Carex torta is typical of wetter areas near the channel. Forbs are diverse and variable from occurrence to occurrence. Some characteristic forbs are Baptisia australis, Conoclinium coelestinum (= Eupatorium coelestinum), Coreopsis pubescens, Coreopsis tripteris, Elephantopus carolinianus, Helenium autumnale, Hydrocotyle sp., Ludwigia leptocarpa, Lycopus spp., Orontium aquaticum, Osmunda regalis var. spectabilis, Oxypolis rigidior, Phlox carolina, Pityopsis graminifolia var. latifolia, Rudbeckia laciniata, and Vernonia gigantea. Distinctive shoals with Hymenocallis coronaria and/or Justicia americana may be present as well. Small seeps and fens can often be found within these habitats, especially at the headwaters and terraces of streams. These areas are typically dominated by primarily wetland obligate species of sedges (Carex spp.), ferns (Osmunda spp.), and other herbaceous species such as Impatiens capensis. Flood-scouring is a powerful and ecologically important abrasive force along these riparian habitats. However, in contrast to larger floodplain systems, these systems have little to no floodplain development (i.e., floodplains, if present, are not differentiated into levees, sloughs, ridges, terraces, and abandoned channel segments) and often contain cobblebars and steep banks. They are typically higher gradient than larger floodplains and experience periodic, strong flooding of short duration.","."
199,"floodplain_forest",1,"CONUS",199,"01.C.3.D011M029E199",9820,"Laurentian-Acadian Floodplain Systems","This systems group encompasses north-temperate and sub-boreal floodplains in the northeastern and north-central U.S. and adjacent Canada north of the range of Platanus occidentalis. Most occur along medium to large rivers where topography and process have resulted in the development of a complex of upland and wetland, temperate, alluvial vegetation on generally flat topography. This complex includes floodplain forests, with Acer saccharinum characteristic, as well as herbaceous sloughs and shrub wetlands. Most areas are underwater each spring; microtopography determines how long the various habitats are inundated. Associated trees include Acer rubrum and Carpinus caroliniana, the latter frequent but never abundant. On terraces or in more calcareous areas, Acer saccharum or Quercus rubra may be locally prominent, with Betula alleghaniensis and Fraxinus spp. Salix nigra is characteristic of the levees adjacent to the channel. Common shrubs include Cornus amomum and Viburnum spp. The herb layer in the forested portions often features abundant spring ephemerals, giving way to a fern-dominated understory in many areas by mid-summer. Non-forested wetlands associated with these systems include shrub-dominated and graminoid-herbaceous vegetation.  Two uncommon expressions occur along sub-boreal rivers in northernmost New England and adjacent Canada: ice-scour rivershores and boreal floodplain forests. The ice-scour rivershores lack extensive forests because spring iceflows prevent floodplain forests from developing, except in small and widely scattered pockets; the vegetation consists of shrublands, tall grasslands, graminoid-forb-dwarf-shrub shoreline seeps, and rivershore outcrops. Characteristic shrubs include Alnus incana and Alnus viridis ssp. crispa (= Alnus crispa), Myrica gale, Cornus sericea, Salix eriocephala and many other Salix spp., and Dasiphora fruticosa ssp. floribunda. Characteristic herbaceous species vary with the setting, although Calamagrostis canadensis is ubiquitous. Soils in some areas remain saturated by seepage waters; other patches are well-drained for most of the growing season. These rivershores are flooded every spring, with summer floods in occasional years. The extent of ice-scour varies from year to year according to the snowpack and conditions during ice-out. The location and extent of shrub versus herb cover will vary in time and space according to how recent and severe the scour events have been. Boreal floodplain forests, north of the range of Acer saccharinum, develop in areas not strongly influenced by ice-scour (i.e., depositional), where topography and process have resulted in a complex of upland and wetland alluvial vegetation. This complex includes floodplain forests dominated by northern trees such as Populus balsamifera and Fraxinus nigra, as well as herbaceous sloughs and shrub wetlands. Most are underwater each spring; microtopography determines how long the various habitats are inundated.","."
200,"floodplain_forest",1,"CONUS",200,"01.C.3.D011M029E200",9858,"Ozark-Ouachita Riparian","This system is found along streams and small rivers within the Ozark and Ouachita regions. In contrast to larger floodplain systems, this system has little to no floodplain development and often contains cobble bars and steep banks. It is traditionally experiences periodic, strong flooding. It is often characterized by a cobble bar with forest immediately adjacent with little to no marsh development. Canopy cover can vary within examples of this system, but typical tree species include sweetgum, sycamore, river birch, maples, and oaks. The richness of the herbaceous and shrub layers can vary significantly, ranging from species-rich to species-poor. Small seeps and fens can often be found within this system, especially at the headwaters and terraces of streams. Flooding and scouring strongly influence this system and prevent the floodplain development found on larger rivers.","."
