VALUE,RUBL_LC,RUBL_CODE,agriculture,floodplain,forest_hardwood,forest_mixed,forest_pine,grassland,plantation_hardwood,plantation_pine,Semi-Desert,shrub,upland_forest,water_fresh,water_salty,wetland_herb,wetland_woody,woodland
1,wetland_woody,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,wetland_woody,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,wetland_woody,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,wetland_woody,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,forest_hardwood,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,maritime_forest,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,maritime_forest,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,maritime_forest,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,maritime_forest,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,maritime_forest,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,maritime_forest,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,maritime_forest,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,plantation_hardwood,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,woodland_pine,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,plantation_pine,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,forest_pine,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,forest_pine,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,upland_mixed,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,upland_mixed,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,woodland_mixed,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,forest_mixed,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,woodland_mixed,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,shrub,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,forest_hardwood,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
