"sp","protocol","lat","lon","date","count"
"rubl","ebird",30.6981848,-88.180787,2014-03-15,"1"
"rubl","ebird",30.6981848,-88.180787,2014-03-15,"1"
"rubl","ebird",30.6997778,-88.185432,2014-03-15,"1"
"rubl","blitz",32.3792902,-86.3648987,2014-03-09,"4"
"rubl","blitz",32.3356983,-86.4099169,2014-03-08,"4"
"rubl","blitz",32.3492043,-86.4168262,2014-03-08,"38"
"rubl","blitz",32.4196022,-86.1352158,2014-03-15,"17"
"rubl","blitz",32.2878945,-86.2254238,2014-03-15,"18"
"rubl","blitz",32.2878945,-86.2254238,2014-03-02,"2"
"rubl","ebird",32.3659986,-86.1769938,2014-03-03,"6"
"rubl","blitz",32.3819367,-86.3316554,2014-03-05,"22"
"rubl","blitz",32.3701522,-86.1887054,2014-03-19,"18"
"rubl","blitz",32.3499476,-86.1836243,2014-03-20,"8"
"rubl","blitz",32.2878945,-86.2254238,2014-03-22,"7"
"rubl","blitz",32.2878945,-86.2254238,2014-03-10,"55"
"rubl","blitz",32.3819367,-86.3316554,2014-03-26,"2"
"rubl","blitz",34.5745709,-86.7254734,2014-03-29,"3"
"rubl","blitz",34.610354,-87.086215,2014-03-19,"8"
"rubl","blitz",32.4895333,-87.9798667,2014-03-13,"1"
"rubl","ebird",34.2974993,-91.2549412,2014-03-03,"11"
"rubl","blitz",34.2873445,-91.6097116,2014-03-05,"9"
"rubl","blitz",36.3250144,-94.2943668,2014-03-23,"1"
"rubl","ebird",36.3305716,-94.2952681,2014-03-06,"7"
"rubl","ebird",36.3383594,-94.0982008,2014-03-03,"10"
"rubl","ebird",36.4663951,-94.2581624,2014-03-20,"1"
"rubl","blitz",36.478136,-94.3676162,2014-03-11,"1"
"rubl","blitz",36.322352,-94.2888308,2014-03-01,"3"
"rubl","blitz",36.349167,-94.287224,2014-03-01,"12"
"rubl","blitz",36.3250144,-94.2943668,2014-03-01,"6"
"rubl","ebird",36.340881,-94.1022408,2014-03-02,"2"
"rubl","ebird",36.3383594,-94.0982008,2014-03-03,"15"
"rubl","blitz",36.3790459,-94.2347252,2014-03-03,"2"
"rubl","blitz",36.4427848,-94.2730535,2014-03-04,"2"
"rubl","ebird",36.4801213,-94.3373519,2014-03-06,"1"
"rubl","blitz",36.3790459,-94.2347252,2014-03-07,"2"
"rubl","ebird",36.4801213,-94.3373519,2014-03-07,"1"
"rubl","ebird",33.3727725,-91.2009993,2014-03-20,"6"
"rubl","blitz",35.7194956,-90.4027921,2014-03-20,"2"
"rubl","blitz",35.7788952,-90.7085578,2014-03-05,"3"
"rubl","blitz",35.8259366,-90.6951964,2014-03-16,"17"
"rubl","blitz",35.7788952,-90.7085578,2014-03-05,"3"
"rubl","blitz",35.7194956,-90.4027921,2014-03-20,"2"
"rubl","blitz",35.4554329,-94.2026031,2014-03-15,"6"
"rubl","blitz",35.469537,-94.1808879,2014-03-15,"43"
"rubl","blitz",35.4882988,-94.2154321,2014-03-15,"40"
"rubl","blitz",35.4788685,-94.1670477,2014-03-15,"5"
"rubl","ebird",35.3422,-90.2252,2014-03-09,"X"
"rubl","ebird",35.3263653,-90.2146196,2014-03-01,"3"
"rubl","ebird",35.3263653,-90.2146196,2014-03-01,"2"
"rubl","ebird",35.3263653,-90.2146196,2014-03-01,"5"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"2"
"rubl","blitz",35.3422,-90.2252,2014-03-01,"6"
"rubl","ebird",35.3448482,-90.2123505,2014-03-01,"X"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"6"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"2"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"6"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"5"
"rubl","ebird",35.3436699,-90.2127448,2014-03-01,"5"
"rubl","ebird",35.3436668,-90.2125865,2014-03-01,"2"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"X"
"rubl","ebird",35.3422,-90.2252,2014-03-30,"7"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"5"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"2"
"rubl","ebird",35.3422,-90.2252,2014-03-01,"2"
"rubl","ebird",35.0677558,-92.3581874,2014-03-14,"1"
"rubl","ebird",34.457061,-92.1732572,2014-03-04,"1"
"rubl","ebird",36.0012364,-90.9234309,2014-03-03,"3"
"rubl","blitz",35.6358296,-90.7244734,2014-03-07,"3"
"rubl","ebird",35.67398,-90.3401,2014-03-03,"5"
"rubl","blitz",35.6358296,-90.7244734,2014-03-07,"3"
"rubl","ebird",35.3240193,-93.1474757,2014-03-19,"31"
"rubl","ebird",35.3240193,-93.1474757,2014-03-31,"3"
"rubl","ebird",34.7859,-92.3335,2014-03-23,"22"
"rubl","blitz",34.6684997,-92.1765876,2014-03-01,"13"
"rubl","blitz",34.6684997,-92.1765876,2014-03-01,"5"
"rubl","blitz",34.6684997,-92.1765876,2014-03-01,"13"
"rubl","blitz",34.6684997,-92.1765876,2014-03-01,"5"
"rubl","ebird",34.5835,-92.2543,2014-03-15,"15"
"rubl","ebird",34.824021,-92.121873,2014-03-15,"17"
"rubl","blitz",34.7216326,-92.1081036,2014-03-01,"12"
"rubl","blitz",34.6989,-92.1371,2014-03-01,"6"
"rubl","ebird",34.700071,-92.1005312,2014-03-03,"3"
"rubl","ebird",34.8031003,-92.3854155,2014-03-07,"20"
"rubl","ebird",34.700071,-92.1005312,2014-03-15,"2"
"rubl","ebird",34.6675,-92.1575,2014-03-08,"6"
"rubl","ebird",34.6616572,-92.2137606,2014-03-08,"8"
"rubl","ebird",34.6675,-92.1575,2014-03-08,"6"
"rubl","ebird",34.6616572,-92.2137606,2014-03-08,"8"
"rubl","ebird",34.5669379,-92.3443794,2014-03-01,"30"
"rubl","ebird",34.5542855,-92.6150894,2014-03-16,"23"
"rubl","ebird",34.5811431,-92.595605,2014-03-04,"10"
"rubl","ebird",34.5811431,-92.595605,2014-03-19,"10"
"rubl","ebird",34.5669379,-92.3443794,2014-03-08,"2"
"rubl","ebird",34.5669379,-92.3443794,2014-03-08,"2"
"rubl","ebird",34.91424,-94.14615,2014-03-08,"6"
"rubl","ebird",35.9875908,-92.7333641,2014-03-30,"1"
"rubl","blitz",35.3818444,-94.3538877,2014-03-05,"4"
"rubl","blitz",36.06766,-94.2332125,2014-03-09,"18"
