"sp","protocol","lat","lon","date","count"
"rubl","ebird",32.4338744,-86.3798332,2009-01-03,"175"
"rubl","ebird",32.6596823,-85.4289579,2009-01-24,"57"
"rubl","ebird",32.3991318,-85.9687471,2009-01-25,"28"
"rubl","ebird",32.3909786,-86.2901402,2009-01-18,"25"
"rubl","ebird",33.12822,-91.96123,2009-01-05,"40"
"rubl","ebird",33.2352416,-92.0352173,2009-01-05,"40"
"rubl","ebird",33.12822,-91.96123,2009-01-05,"40"
"rubl","ebird",36.2232266,-94.5401001,2009-01-04,"67"
"rubl","ebird",34.2504059,-92.3994827,2009-01-29,"8"
"rubl","ebird",34.8884655,-91.3148832,2009-01-07,"50"
"rubl","ebird",34.8884655,-91.3148832,2009-01-07,"50"
"rubl","ebird",34.6269929,-91.3101196,2009-01-14,"X"
"rubl","ebird",34.51059,-91.25125,2009-01-20,"X"
"rubl","ebird",34.9366078,-91.2383652,2009-01-21,"X"
"rubl","ebird",34.51059,-91.25125,2009-01-10,"X"
"rubl","ebird",34.2753753,-91.0649872,2009-01-01,"X"
"rubl","ebird",35.6942953,-90.7475977,2009-01-31,"7"
"rubl","ebird",35.1397567,-93.0541935,2009-01-24,"32"
"rubl","ebird",34.88385,-91.38097,2009-01-07,"X"
"rubl","ebird",34.88385,-91.38097,2009-01-23,"X"
"rubl","ebird",34.88385,-91.38097,2009-01-26,"X"
"rubl","blitz",34.88385,-91.38097,2009-01-29,"2000"
"rubl","blitz",34.88385,-91.38097,2009-01-30,"1500"
"rubl","blitz",34.88385,-91.38097,2009-01-28,"600"
"rubl","ebird",34.6962671,-92.0969081,2009-01-24,"3"
"rubl","ebird",34.6962671,-92.0969081,2009-01-24,"3"
"rubl","ebird",33.0638523,-92.1337509,2009-01-05,"52"
"rubl","ebird",36.1035207,-94.1954899,2009-01-10,"90"
"rubl","ebird",36.0525,-94.0654,2009-01-08,"8"
"rubl","ebird",36.0525,-94.0654,2009-01-08,"10"
"rubl","ebird",36.0525,-94.0654,2009-01-08,"10"
